filename,label,keypoints
IMG_0362.jpg,ready,"[[346.5754699707031, 148.89364624023438, 0.9642845392227173], [352.08966064453125, 142.897705078125, 0.9255369305610657], [340.31201171875, 143.20449829101562, 0.9395424127578735], [359.907958984375, 149.54345703125, 0.6916770935058594], [329.6009826660156, 150.1197509765625, 0.7741827368736267], [371.4488525390625, 192.83892822265625, 0.993277907371521], [315.4638671875, 194.27371215820312, 0.9964516162872314], [382.23724365234375, 244.94741821289062, 0.9528179168701172], [307.0771789550781, 247.14013671875, 0.9744641780853271], [381.7689514160156, 293.1322937011719, 0.9236094355583191], [308.8775939941406, 293.1037902832031, 0.9468737840652466], [360.3292541503906, 291.7192687988281, 0.9955135583877563], [324.53826904296875, 292.4814147949219, 0.9968024492263794], [358.26629638671875, 364.84478759765625, 0.9849041104316711], [326.1580810546875, 365.5174560546875, 0.9876070618629456], [354.63421630859375, 435.05096435546875, 0.9536498785018921], [329.1328430175781, 436.210205078125, 0.9599444270133972]]"
IMG_0363.jpg,ready,"[[347.15234375, 151.20797729492188, 0.9808439016342163], [354.0066223144531, 145.04237365722656, 0.9644127488136292], [340.9701843261719, 145.05824279785156, 0.9652084112167358], [364.3604431152344, 150.35699462890625, 0.7908006906509399], [330.5002746582031, 150.29348754882812, 0.7942285537719727], [380.1324768066406, 189.40805053710938, 0.9966084957122803], [310.31964111328125, 189.77081298828125, 0.9983274936676025], [404.54071044921875, 232.23812866210938, 0.9819779992103577], [284.6307067871094, 230.884765625, 0.9900216460227966], [384.45587158203125, 250.59219360351562, 0.9710229635238647], [306.265869140625, 252.326416015625, 0.979033350944519], [369.14593505859375, 291.35003662109375, 0.9980738162994385], [321.80865478515625, 291.6059265136719, 0.9986534714698792], [374.4251708984375, 366.7474365234375, 0.9924944639205933], [312.9443664550781, 366.42657470703125, 0.9935780167579651], [372.8617248535156, 438.53253173828125, 0.9688707590103149], [316.26336669921875, 438.636474609375, 0.9721506834030151]]"
IMG_0366.jpg,squat,"[[336.1672058105469, 245.49813842773438, 0.9573890566825867], [342.5009765625, 239.72659301757812, 0.939494252204895], [330.05169677734375, 239.9456787109375, 0.925923764705658], [353.5741882324219, 246.28329467773438, 0.7643766403198242], [319.37359619140625, 247.01519775390625, 0.6605436205863953], [374.0550537109375, 281.0671691894531, 0.994533896446228], [299.4939270019531, 280.90997314453125, 0.9962021708488464], [396.8518981933594, 323.2288513183594, 0.98198401927948], [274.2983093261719, 317.7424621582031, 0.9844199419021606], [377.4484558105469, 346.27996826171875, 0.9666253924369812], [297.33856201171875, 339.650146484375, 0.9675511121749878], [367.5974426269531, 363.9981384277344, 0.9942973852157593], [310.8776550292969, 363.4245300292969, 0.9952893257141113], [404.0837097167969, 382.9530944824219, 0.9720502495765686], [277.6418151855469, 381.0062255859375, 0.9729819297790527], [419.9071044921875, 452.68841552734375, 0.9224796295166016], [266.6986999511719, 450.75048828125, 0.9237061738967896]]"
IMG_0367.jpg,lunge,"[[369.77093505859375, 247.43658447265625, 0.9728057384490967], [371.4408264160156, 239.76214599609375, 0.8584813475608826], [362.652587890625, 241.3070068359375, 0.9608354568481445], [370.8421325683594, 242.36767578125, 0.4666702151298523], [347.09625244140625, 245.72366333007812, 0.8986427783966064], [375.1241149902344, 277.9432373046875, 0.986486554145813], [329.0831604003906, 281.12579345703125, 0.9961420297622681], [378.0218505859375, 320.98760986328125, 0.9380483627319336], [308.8475341796875, 326.05841064453125, 0.9893866777420044], [376.8260803222656, 350.77496337890625, 0.8955550193786621], [337.34521484375, 358.4365234375, 0.9743140935897827], [373.5777282714844, 362.1045227050781, 0.9943863749504089], [333.0240173339844, 367.17132568359375, 0.9970865249633789], [426.3907470703125, 401.82794189453125, 0.9793347120285034], [322.8803405761719, 416.19525146484375, 0.9899309277534485], [428.2901611328125, 436.9912109375, 0.9432387351989746], [268.5185241699219, 456.53900146484375, 0.9629164934158325]]"
IMG_0369.jpg,lunge,"[[377.7175598144531, 235.71783447265625, 0.9465444087982178], [375.48895263671875, 226.85308837890625, 0.6842489242553711], [370.7043762207031, 230.29885864257812, 0.9464139938354492], [362.87945556640625, 227.77203369140625, 0.27547627687454224], [350.6557312011719, 236.69482421875, 0.9188308119773865], [359.79315185546875, 263.05657958984375, 0.9705088138580322], [334.6716613769531, 271.6942138671875, 0.9952301383018494], [348.8113098144531, 308.4098205566406, 0.8655738830566406], [314.6399841308594, 316.2716979980469, 0.9889059066772461], [351.032958984375, 339.8757629394531, 0.7969803810119629], [335.5558166503906, 348.565673828125, 0.9697266817092896], [363.6994934082031, 352.3581848144531, 0.9915741682052612], [335.0268249511719, 359.351318359375, 0.9967459440231323], [419.439208984375, 396.43603515625, 0.9748654365539551], [321.2722473144531, 412.3997497558594, 0.9906635284423828], [428.6551513671875, 428.6296691894531, 0.9441324472427368], [256.41302490234375, 448.23931884765625, 0.9689408540725708]]"
IMG_0372.jpg,lunge,"[[298.2874755859375, 239.91766357421875, 0.8588278293609619], [304.2709045410156, 233.4671630859375, 0.9056380987167358], [299.3862609863281, 232.71200561523438, 0.4410545229911804], [322.4553527832031, 236.7716064453125, 0.9191750288009644], [315.45513916015625, 232.68753051757812, 0.1903432011604309], [333.55743408203125, 272.38189697265625, 0.993865430355072], [322.38720703125, 263.8225402832031, 0.8904127478599548], [335.7397155761719, 323.609375, 0.987845778465271], [333.20684814453125, 304.3562316894531, 0.5638932585716248], [319.4985656738281, 360.3526916503906, 0.9586787819862366], [314.10968017578125, 344.455078125, 0.5174599289894104], [332.28277587890625, 359.9430847167969, 0.9934177398681641], [314.1677551269531, 355.23870849609375, 0.970187246799469], [357.642333984375, 411.89105224609375, 0.9826850891113281], [258.8932189941406, 403.69158935546875, 0.9278252124786377], [425.926513671875, 444.35546875, 0.9542657136917114], [260.5745849609375, 430.3836364746094, 0.8918770551681519]]"
IMG_0373.jpg,lunge,"[[311.53338623046875, 239.1102294921875, 0.9465055465698242], [318.46624755859375, 232.1903076171875, 0.9425917267799377], [307.7842712402344, 232.0982666015625, 0.7746248245239258], [332.227783203125, 235.66482543945312, 0.9000574946403503], [309.57208251953125, 234.39373779296875, 0.4280919134616852], [343.9151611328125, 274.2475280761719, 0.9951819181442261], [308.3974609375, 268.98455810546875, 0.9658527374267578], [346.9231262207031, 325.76171875, 0.9867194294929504], [318.50274658203125, 311.3824462890625, 0.821473240852356], [325.3738098144531, 353.7763366699219, 0.962399959564209], [310.0810546875, 348.9344177246094, 0.7600258588790894], [338.04052734375, 360.6606140136719, 0.9948413372039795], [304.5384521484375, 356.5968017578125, 0.9854823350906372], [359.6635437011719, 411.9840393066406, 0.9849092364311218], [254.92845153808594, 400.684326171875, 0.9593672156333923], [421.6952209472656, 449.831298828125, 0.9574229121208191], [260.2762451171875, 431.8550720214844, 0.9230512380599976]]"
IMG_0375.jpg,slide,"[[240.5476837158203, 314.6557922363281, 0.9336196780204773], [247.60910034179688, 308.05230712890625, 0.9334656000137329], [235.30462646484375, 308.48870849609375, 0.823041558265686], [261.3791198730469, 310.4246520996094, 0.8534023761749268], [229.99566650390625, 310.6486511230469, 0.4742327630519867], [272.9171142578125, 338.59454345703125, 0.9868054389953613], [230.42369079589844, 338.4759521484375, 0.9392699003219604], [263.0466003417969, 390.2760009765625, 0.9567508101463318], [238.6350860595703, 384.3811340332031, 0.7234950661659241], [243.92230224609375, 385.7111511230469, 0.8918095827102661], [242.87445068359375, 388.6246337890625, 0.6419597268104553], [305.7146301269531, 377.8700256347656, 0.98045814037323], [265.4342041015625, 381.11932373046875, 0.9587748050689697], [352.58343505859375, 415.67816162109375, 0.9578468799591064], [235.12322998046875, 418.4583740234375, 0.9148694276809692], [428.6840515136719, 431.35382080078125, 0.9116713404655457], [250.16641235351562, 435.55859375, 0.8648369908332825]]"
IMG_0378.jpg,slide,"[[193.79193115234375, 418.99468994140625, 0.6740759611129761], [191.39837646484375, 411.8451843261719, 0.6847347021102905], [188.6228485107422, 413.51580810546875, 0.290246844291687], [200.8168182373047, 392.6299133300781, 0.7149507999420166], [186.5531768798828, 397.02197265625, 0.17097187042236328], [236.2149658203125, 387.0668029785156, 0.9830429553985596], [206.34051513671875, 378.3536376953125, 0.8698112964630127], [260.8494873046875, 440.99188232421875, 0.9775171279907227], [234.36643981933594, 403.4165954589844, 0.696745753288269], [217.21046447753906, 467.016357421875, 0.9349249601364136], [225.09881591796875, 443.94281005859375, 0.6405965089797974], [317.0723876953125, 375.8365478515625, 0.9786331653594971], [292.87896728515625, 375.83538818359375, 0.9413690567016602], [357.3538818359375, 435.94842529296875, 0.9276533722877502], [300.104736328125, 427.43182373046875, 0.8179696798324585], [439.8494873046875, 425.08544921875, 0.7813686728477478], [348.61236572265625, 405.32794189453125, 0.6563529372215271]]"
IMG_0379.jpg,slide,"[[470.0857238769531, 315.27008056640625, 0.9620027542114258], [476.2254638671875, 308.8052673339844, 0.8610016107559204], [463.4260559082031, 309.4126281738281, 0.9599926471710205], [483.376708984375, 309.82232666015625, 0.459148645401001], [447.9633483886719, 311.5177001953125, 0.864419162273407], [475.11383056640625, 326.9249572753906, 0.9552351832389832], [434.2793884277344, 338.95465087890625, 0.9920312166213989], [466.9268798828125, 366.2711486816406, 0.825542151927948], [442.6080322265625, 392.3070068359375, 0.9806869029998779], [449.92633056640625, 369.2384948730469, 0.7677468061447144], [461.03533935546875, 371.07061767578125, 0.9500566720962524], [435.1512756347656, 365.8406066894531, 0.9790831804275513], [394.0314025878906, 369.34466552734375, 0.9904614090919495], [475.7129211425781, 389.61334228515625, 0.9326435327529907], [349.6670227050781, 403.4866943359375, 0.9706810712814331], [447.66387939453125, 399.8431396484375, 0.8701860308647156], [272.6719055175781, 425.351318359375, 0.9193219542503357]]"
